1,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,36.8395335,-2.4726513,https://goo.gl/maps/aeNJeFMXiiLbkGN86,"C/ San Antón, 4, Almería",950273195,codenafalmeria@codenaf.org ,http://www.codenaf.org/,CODENAF (Cooperación y desarrollo con el Norte de África),"Atención y asesoría a las personas migrantes, clases de español y orientación laboral para mujeres.","jurídico, empleo, mujer, idiomas",الرعاية، المشورة للمهاجرين، دروس اللغة الإسبانية والتوجيه الوظيفي للمرأة.,القانونية والعمل والنساء واللغات,"Soins et conseils aux migrants, des cours d'espagnol et d'orientation professionnelle pour les femmes.","juridiques, l'emploi, les femmes, les langues","Care and advice for immigrants, Spanish classes and career counselling for women.","legal, employment, women, languages"
2,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,36.8369797,-2.4701161,https://goo.gl/maps/iRH7KTXQmYY34p1c6,"Parque de Nicolás Salmerón, 28, Almería","950257367,950270124",,https://www2.cruzroja.es/,Cruz Roja Almería,"Asesoría jurídica, ayuda humanitaria, orientación laboral, etc.","empleo, jurídico, ayuda humanitaria",المشورة الحقوقية، المساعدة الإنسانية، التوجيه الوظيفي، إلخ.,العمل، والمساعدات الإنسانية القانونية,"assistance juridique, humanitaire, l'orientation professionnelle, etc.","l'emploi, l'aide juridique, humanitaire","Legal advice, humanitarian assistance, career guidance, etc.","employment, legal, humanitarian aid"
3,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,36.8383622,-2.4724557,https://goo.gl/maps/r8y3xduZNPod8gAd8,"C/ General Luque, 7 (1° o 5° a) Almería",669329209,ejbari@mixmail.com,,Asociación de Cooperación e Investigación de Mujeres y Niños Inmigrantes,"Enfocado a la mujer e infancia. Asesoría jurídica y tramitación legal, formación, servicios de intermediación, orientación general","mujer, infancia, jurídico",موجه للمرأة والطفولة. مشورة حقوقية وإجراءات قانونية، تأهيل، خدمات وساطة، توجيه عام,النساء والأطفال والقانونية,"Mettre l'accent sur les femmes et les enfants. des conseils juridiques et des procédures juridiques, la formation, les services intermédiaires, orientation générale","les femmes, les enfants, juridiques","Focusing on women and children. Legal advice and legal procedures, training, intermediation services, general guidance","women, children, legal"
4,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,36.1271148,-5.4461889,"https://www.google.es/maps/place/Calle+Duque+de+Almod%C3%B3var,+12,+11201+Algeciras,+C%C3%A1diz/@36.1271148,-5.4483776,17z/data=!3m1!4b1!4m5!3m4!1s0xd0c94dacb0cf651:0x18706a596e8d8b6c!8m2!3d36.1271148!4d-5.4461889","Calle Duque de Almodóvar, 12,11201 Algeciras",,, https://fmyv.es/,"Fundación Márgenes y Vínculos -Atención ""Un Barrio de Todos""","Formación, clases español, atención",,التدريب، دروس اللغة الإسبانية، الرعاية الاجتماعية,,"Formation, cours d'espagnol, attention sociale",,"Care and advice for immigrants, Spanish classes.",
5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,36.1478338,-5.4490471,"https://www.google.es/maps/place/Fundaci%C3%B3n+Prolibertas/@36.1476664,-5.4514671,17z/data=!4m9!1m2!2m1!1sPza.+Stma.+Trinidad+s%2Fn,+11205+Algeciras!3m5!1s0xb18ea69aaaaaaaab:0x82ddbcae7a9b5755!8m2!3d36.1478338!4d-5.4490471!15sCihQemEuIFN0bWEuIFRyaW5pZGFkIHMvbiwgMTEyMDUgQWxnZWNpcmFzkgEdbm9uX2dvdmVybm1lbnRhbF9vcmdhbml6YXRpb24","Pza. Stma. Trinidad s/n, 11205 Algeciras",956 65 32 38,delegacion.algeciras@prolibertas.org,https://www.prolibertas.org/,Fundación Prolibertas,"Formación y empleo, casa de acogida",,التدريب والتوظيف، دار استقبال,,"Formation et emploi, maison d'accueil",,"Care and advice for immigrants, humanitorian center",
6,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,36.122496,-5.4516763,"https://www.google.es/maps/place/Calle+Paco+Mu%C3%B1oz,+11206+Algeciras,+C%C3%A1diz/@36.122496,-5.453865,17z/data=!3m1!4b1!4m5!3m4!1s0xd0c94c1571a095b:0x1027836cd7fbe7a8!8m2!3d36.122496!4d-5.4516763","C/ Paco Muñoz, nº 2, Algeciras, CP 11206",691.83.20.88,asociacionmarroqui.algeciras@yahoo.com,https://www.asociacionmarroqui.com/,Asociación Marroquí para la Integración de Inmigrantes,"Orientación social, juridica, sanitaria, educativa, laboral, clases de español e inglés",,التوجيه الاجتماعي والقانوني والصحي والتعليمي و الدروس الإسبانية والانكليزية,,"Orientation sociale, juridique, médicale, éducative, professionnelle, cours d'espagnol et d'anglais",,"Legal advice, humanitarian assistance, career guidance, spanish and english classes",
7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,36.1426793,-5.4469358,"https://www.google.es/maps/place/C%C3%A1mara+de+Comercio+del+Campo+de+Gibraltar/@36.1440766,-5.449014,17z/data=!4m9!1m2!2m1!1sEdificio+Carteia+de+la+C%C3%A1mara+de+Comercio+del+Campo+de+Gibraltar+s%2Fn,+Paseo+de+la+Cornisa,+11204-Algeciras!3m5!1s0xd0ceb3aeca0fcfd:0xf7012b77726b2499!8m2!3d36.1426793!4d-5.4469358!15sCmtFZGlmaWNpbyBDYXJ0ZWlhIGRlIGxhIEPDoW1hcmEgZGUgQ29tZXJjaW8gZGVsIENhbXBvIGRlIEdpYnJhbHRhciBzL24sIFBhc2VvIGRlIGxhIENvcm5pc2EsIDExMjA0LUFsZ2VjaXJhc5IBE2NoYW1iZXJfb2ZfY29tbWVyY2U","Edificio Carteia de la Cámara de Comercio del Campo de Gibraltar s/n, Paseo de la Cornisa, 11204-Algeciras",HelpLine 900 907 523,,https://www.savethechildren.es/,Save The Children,Protección niños y niñas migrantes,,حماية الأطفال المهاجرين,,Protection des enfants migrants,,Protection of migrant children,
8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,36.1705608,-5.3414552,"https://www.google.es/maps/place/Calle+Gibraltar,+152,+11300+La+L%C3%ADnea+de+la+Concepci%C3%B3n,+C%C3%A1diz/@36.1705608,-5.3436439,17z/data=!3m1!4b1!4m5!3m4!1s0xd0cc0edf77533d9:0xe98332bd8049f6f5!8m2!3d36.1705608!4d-5.3414552",C/ Gibraltar nº 152 11300 La Línea de la Concepción,956172380   626826866,info@hogarbetania.es,https://www.hogarbetania.es/,Nuevo Hogar Betania,"Información general, asesoramiento jurídico, menores, comedor social, orientación y formación laboral",,معلومات عامة، معلومات قانونية، قاصرون غير مصحوبين، طعام اجتماعي، استشارات وتدريب وظيفي,,"Informations générales, conseils juridiques, mineurs, cantine sociale, orientation et formation professionnelle",,"General information, legal advice, career guidance and training, minors advices, social food center",
9,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,36.127345,-5.446125,"https://www.google.es/maps/place/Calle+Duque+de+Almod%C3%B3var,+15,+11201+Algeciras,+C%C3%A1diz/@36.127345,-5.4483137,17z/data=!3m1!4b1!4m5!3m4!1s0xd0c94dab5840147:0x6a7996a2a5fc78af!8m2!3d36.127345!4d-5.446125","Calle Duque de Almodóvar, 15,11201 Algeciras",,,http://www.fundacionamaranta.org/,Fundación Amaranta,"Atención social mujeres en situación de vulnerabilidad, clases de castellano",,الرعاية الاجتماعية للنساء الضعيفات، دروس اللغة الإسبانية,,"Aide aux femmes en situation de vulnérabilité, cours d'espagnol",,"Social care of women in vulnerable situations, spanish classes",
10,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,36.1296145,-5.4457879,"https://www.google.es/maps/place/Calle+C%C3%A1novas+del+Castillo,+10,+11201+Algeciras,+C%C3%A1diz/@36.1296145,-5.4479766,17z/data=!3m1!4b1!4m5!3m4!1s0xd0c958e3a36f609:0xf2d301a0a696a472!8m2!3d36.1296145!4d-5.4457879","Calle Cánovas del Castillo, 10 11201 Algeciras",671 453 592 / 673 340 919,,Centros Cepaim | Algeciras | Fundación Cepaim | Convivencia y Cohesión Social,CEPAIM,"Atención social, asesoramiento juridíco, formación laboral",,الرعاية الاجتماعية، المعلومات القانونية، التدريب الوظيفي,,"Assistance sociale, conseil juridique, formation professionnelle",,"Social Care, legal advice, career guidance",
11,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,36.1316825,-5.449026,https://goo.gl/maps/4C9roLr5VCeCHB9x6,"C/ Sevilla, 35 Bajo. 11201, Algeciras","956634003,956633398",algeciras@acoge.org,https://acoge.org/algeciras-acoge/,Algeciras Acoge,"Información general, asesoramiento jurídico, clases de español",,معلومات عامة، مشورة حقوقية، دروس اللغة الإسبانية,,"Informations générales, conseils juridiques, des cours d'espagnol",,"General information, legal advice, Spanish classes",
12,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,36.1316825,-5.449026,https://goo.gl/maps/mGeCo6KiFa3oar8PA,"Calle Paseo de la Conferencia 9, 11207 Algeciras",956560946,,https://www.cear.es/,CEAR,"Asilo, alojamiento para solicitantes de asilo, asesoramiento legal",,لجوء، مسكن لطالبي اللجوء، مشورة قانونية,,"Asile, hébergement des demandeurs d'asile, des conseils juridiques",,"Asylum, accommodation for asylum seekers, legal advice",
13,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,36.1252842,-5.4432215,https://goo.gl/maps/aFaMkH5KkZRsZcL89,"Calle Paseo de la Conferencia 7, 11207 Algeciras",956603490,,https://www.fundacioncruzblanca.org/centro/centro-algeciras,Fundación Cruz Blanca,"Atención a trabajadoras sexuales, apoyo para mujeres en situación de exclusión. Atención las 24 hrs todos los días.",,رعاية العاملات في الدعارة، دعم للنساء اللواتي يعانين من حالة تهميش. رعاية 24 ساعة يوميًا.,,"Attention aux travailleurs du sexe, du soutien aux femmes en situation d'exclusion. Ouvert 24 heures tous les jours.",,"Attention for sex workers, support for women in situations of exclusion. Open 24 hours every day.",
